O*OOO*OX
OX*XO**O
OX*XXXOX
OOX*XXO*
*OOX**OX
OXXX***X
***XXOOX
OXOXXO*X
Node,Depth,Value
root,0,-Infinity
a1,1,Infinity
f1,2,-Infinity
b1,3,-70
f1,2,-70
c2,3,-66
f1,2,-66
c3,3,-23
f1,2,-23
d4,3,12
f1,2,12
h4,3,16
f1,2,16
e5,3,4
f1,2,16
e6,3,6
f1,2,16
a7,3,-22
f1,2,16
b7,3,-38
f1,2,16
c7,3,-8
f1,2,16
a1,1,16
f2,2,-Infinity
b1,3,-74
f2,2,-74
f1,3,8
f2,2,8
c2,3,-70
f2,2,8
c3,3,-27
f2,2,8
d4,3,8
f2,2,8
h4,3,12
f2,2,12
e5,3,0
f2,2,12
e6,3,2
f2,2,12
a7,3,-26
f2,2,12
b7,3,-42
f2,2,12
c7,3,-12
f2,2,12
a1,1,12
d4,2,-Infinity
b1,3,-92
d4,2,-92
c2,3,-94
d4,2,-92
c3,3,-53
d4,2,-53
h4,3,-6
d4,2,-6
e5,3,-4
d4,2,-4
e6,3,-16
d4,2,-4
b7,3,-60
d4,2,-4
c7,3,-44
d4,2,-4
a1,1,-4
h4,2,-Infinity
b1,3,-84
h4,2,-84
c2,3,-86
h4,2,-84
c3,3,-37
h4,2,-37
d4,3,-10
h4,2,-10
e5,3,-4
h4,2,-4
e6,3,-8
h4,2,-4
a7,3,-36
h4,2,-4
b7,3,-52
h4,2,-4
c7,3,-22
h4,2,-4
a1,1,-4
a5,2,-Infinity
b1,3,-92
a5,2,-92
c2,3,-94
a5,2,-92
c3,3,-53
a5,2,-53
d4,3,-10
a5,2,-10
h4,3,-6
a5,2,-6
e5,3,-12
a5,2,-6
e6,3,-16
a5,2,-6
b7,3,-66
a5,2,-6
c7,3,-44
a5,2,-6
a1,1,-6
f5,2,-Infinity
b1,3,-76
f5,2,-76
c2,3,-78
f5,2,-76
c3,3,-29
f5,2,-29
d4,3,-2
f5,2,-2
h4,3,10
f5,2,10
e5,3,4
f5,2,10
e6,3,0
f5,2,10
g6,3,-28
f5,2,10
a7,3,-28
f5,2,10
b7,3,-44
f5,2,10
c7,3,-14
f5,2,10
a1,1,-6
f6,2,-Infinity
b1,3,-43
f6,2,-43
c2,3,-45
f6,2,-43
c3,3,4
f6,2,4
d4,3,39
f6,2,39
h4,3,43
f6,2,43
e5,3,37
f6,2,43
f5,3,39
f6,2,43
e6,3,33
f6,2,43
a7,3,5
f6,2,43
b7,3,-11
f6,2,43
c7,3,19
f6,2,43
a1,1,-6
g6,2,-Infinity
b1,3,-72
g6,2,-72
c2,3,-74
g6,2,-72
c3,3,-25
g6,2,-25
d4,3,10
g6,2,10
h4,3,14
g6,2,14
e5,3,8
g6,2,14
e6,3,4
g6,2,14
f6,3,-9
g6,2,14
a7,3,-24
g6,2,14
b7,3,-40
g6,2,14
c7,3,-18
g6,2,14
a1,1,-6
g8,2,-Infinity
b1,3,-92
g8,2,-92
c2,3,-94
g8,2,-92
c3,3,-45
g8,2,-45
d4,3,-10
g8,2,-10
h4,3,-6
g8,2,-6
e5,3,-12
g8,2,-6
e6,3,-16
g8,2,-6
a7,3,-44
g8,2,-6
b7,3,-60
g8,2,-6
c7,3,-30
g8,2,-6
a1,1,-6
root,0,-6
b1,1,Infinity
f1,2,-Infinity
a1,3,-70
f1,2,-70
c3,3,-130
f1,2,-70
d4,3,-151
f1,2,-70
h4,3,-147
f1,2,-70
e5,3,-159
f1,2,-70
e6,3,-149
f1,2,-70
a7,3,-185
f1,2,-70
b7,3,-201
f1,2,-70
c7,3,-171
f1,2,-70
b1,1,-70
c2,2,-Infinity
a1,3,-32
c2,2,-32
c3,3,-100
c2,2,-32
d4,3,-113
c2,2,-32
h4,3,-109
c2,2,-32
e5,3,-115
c2,2,-32
f5,3,-127
c2,2,-32
e6,3,-111
c2,2,-32
a7,3,-147
c2,2,-32
b7,3,-163
c2,2,-32
c7,3,-133
c2,2,-32
b1,1,-70
f2,2,-Infinity
a1,3,-74
f2,2,-74
f1,3,-155
f2,2,-74
c3,3,-134
f2,2,-74
d4,3,-155
f2,2,-74
h4,3,-151
f2,2,-74
e5,3,-163
f2,2,-74
e6,3,-153
f2,2,-74
a7,3,-189
f2,2,-74
b7,3,-205
f2,2,-74
c7,3,-175
f2,2,-74
b1,1,-74
c3,2,-Infinity
a1,3,-83
c3,2,-83
c2,3,-178
c3,2,-83
d4,3,-150
c3,2,-83
h4,3,-160
c3,2,-83
e5,3,-166
c3,2,-83
e6,3,-170
c3,2,-83
a7,3,-198
c3,2,-83
b7,3,-214
c3,2,-83
c7,3,-184
c3,2,-83
b1,1,-83
d4,2,-Infinity
a1,3,-92
d4,2,-92
c2,3,-201
d4,2,-92
c3,3,-160
d4,2,-92
h4,3,-169
d4,2,-92
e5,3,-167
d4,2,-92
e6,3,-171
d4,2,-92
b7,3,-223
d4,2,-92
c7,3,-207
d4,2,-92
b1,1,-92
h4,2,-Infinity
a1,3,-84
h4,2,-84
c2,3,-193
h4,2,-84
c3,3,-144
h4,2,-84
d4,3,-173
h4,2,-84
e5,3,-167
h4,2,-84
e6,3,-163
h4,2,-84
a7,3,-199
h4,2,-84
b7,3,-215
h4,2,-84
c7,3,-185
h4,2,-84
b1,1,-92
a5,2,-Infinity
a1,3,-80
a5,2,-80
c2,3,-213
a5,2,-80
c3,3,-172
a5,2,-80
d4,3,-185
a5,2,-80
h4,3,-181
a5,2,-80
e5,3,-187
a5,2,-80
e6,3,-183
a5,2,-80
b7,3,-241
a5,2,-80
c7,3,-219
a5,2,-80
b1,1,-92
f5,2,-Infinity
a1,3,-76
f5,2,-76
c2,3,-185
f5,2,-76
c3,3,-136
f5,2,-76
d4,3,-165
f5,2,-76
h4,3,-153
f5,2,-76
e5,3,-159
f5,2,-76
e6,3,-155
f5,2,-76
g6,3,-191
f5,2,-76
a7,3,-191
f5,2,-76
b7,3,-207
f5,2,-76
c7,3,-177
f5,2,-76
b1,1,-92
f6,2,-Infinity
a1,3,-43
f6,2,-43
c2,3,-152
f6,2,-43
c3,3,-103
f6,2,-43
d4,3,-124
f6,2,-43
h4,3,-120
f6,2,-43
e5,3,-126
f6,2,-43
f5,3,-124
f6,2,-43
e6,3,-122
f6,2,-43
a7,3,-158
f6,2,-43
b7,3,-174
f6,2,-43
c7,3,-144
f6,2,-43
b1,1,-92
g6,2,-Infinity
a1,3,-72
g6,2,-72
c2,3,-181
g6,2,-72
c3,3,-132
g6,2,-72
d4,3,-153
g6,2,-72
h4,3,-149
g6,2,-72
e5,3,-155
g6,2,-72
e6,3,-151
g6,2,-72
f6,3,-172
g6,2,-72
a7,3,-187
g6,2,-72
b7,3,-203
g6,2,-72
c7,3,-181
g6,2,-72
b1,1,-92
g8,2,-Infinity
a1,3,-92
g8,2,-92
c2,3,-201
g8,2,-92
c3,3,-152
g8,2,-92
d4,3,-173
g8,2,-92
h4,3,-169
g8,2,-92
e5,3,-175
g8,2,-92
e6,3,-171
g8,2,-92
a7,3,-207
g8,2,-92
b7,3,-223
g8,2,-92
c7,3,-193
g8,2,-92
b1,1,-92
root,0,-6
c2,1,Infinity
b1,2,-Infinity
a1,3,-38
b1,2,-38
c3,3,-84
b1,2,-38
d4,3,-97
b1,2,-38
h4,3,-99
b1,2,-38
e5,3,-105
b1,2,-38
e6,3,-101
b1,2,-38
a7,3,-137
b1,2,-38
b7,3,-153
b1,2,-38
c7,3,-123
b1,2,-38
c2,1,-38
f1,2,-Infinity
a1,3,-24
f1,2,-24
b1,3,-179
f1,2,-24
f2,3,-133
f1,2,-24
c3,3,-78
f1,2,-24
d4,3,-99
f1,2,-24
h4,3,-101
f1,2,-24
e5,3,-113
f1,2,-24
f5,3,-111
f1,2,-24
e6,3,-103
f1,2,-24
a7,3,-139
f1,2,-24
b7,3,-155
f1,2,-24
c7,3,-125
f1,2,-24
c2,1,-38
f2,2,-Infinity
a1,3,-14
f2,2,-14
b1,3,-169
f2,2,-14
f1,3,-95
f2,2,-14
c3,3,-82
f2,2,-14
d4,3,-95
f2,2,-14
h4,3,-91
f2,2,-14
e5,3,-103
f2,2,-14
e6,3,-93
f2,2,-14
a7,3,-129
f2,2,-14
b7,3,-145
f2,2,-14
c7,3,-115
f2,2,-14
c2,1,-38
c3,2,-Infinity
a1,3,-37
c3,2,-37
b1,3,-200
c3,2,-37
d4,3,-112
c3,2,-37
h4,3,-114
c3,2,-37
e5,3,-120
c3,2,-37
f5,3,-124
c3,2,-37
e6,3,-124
c3,2,-37
a7,3,-152
c3,2,-37
b7,3,-168
c3,2,-37
c7,3,-138
c3,2,-37
c2,1,-38
d4,2,-Infinity
a1,3,-46
d4,2,-46
b1,3,-201
d4,2,-46
c3,3,-108
d4,2,-46
h4,3,-123
d4,2,-46
e5,3,-121
d4,2,-46
f5,3,-133
d4,2,-46
e6,3,-125
d4,2,-46
b7,3,-177
d4,2,-46
c7,3,-161
d4,2,-46
c2,1,-46
h4,2,-Infinity
a1,3,-38
h4,2,-38
b1,3,-193
h4,2,-38
c3,3,-92
h4,2,-38
d4,3,-121
h4,2,-38
e5,3,-121
h4,2,-38
f5,3,-125
h4,2,-38
e6,3,-117
h4,2,-38
a7,3,-153
h4,2,-38
b7,3,-169
h4,2,-38
c7,3,-139
h4,2,-38
c2,1,-46
a5,2,-Infinity
a1,3,-34
a5,2,-34
b1,3,-213
a5,2,-34
c3,3,-120
a5,2,-34
d4,3,-133
a5,2,-34
h4,3,-135
a5,2,-34
e5,3,-141
a5,2,-34
f5,3,-145
a5,2,-34
e6,3,-137
a5,2,-34
b7,3,-195
a5,2,-34
c7,3,-173
a5,2,-34
c2,1,-46
f5,2,-Infinity
a1,3,-30
f5,2,-30
b1,3,-185
f5,2,-30
c3,3,-84
f5,2,-30
d4,3,-113
f5,2,-30
h4,3,-107
f5,2,-30
e5,3,-113
f5,2,-30
e6,3,-109
f5,2,-30
g6,3,-129
f5,2,-30
a7,3,-145
f5,2,-30
b7,3,-161
f5,2,-30
c7,3,-131
f5,2,-30
c2,1,-46
f6,2,-Infinity
a1,3,3
f6,2,3
b1,3,-152
f6,2,3
c3,3,-51
f6,2,3
d4,3,-72
f6,2,3
h4,3,-74
f6,2,3
e5,3,-80
f6,2,3
f5,3,-70
f6,2,3
e6,3,-76
f6,2,3
a7,3,-112
f6,2,3
b7,3,-128
f6,2,3
c7,3,-98
f6,2,3
c2,1,-46
g6,2,-Infinity
a1,3,-26
g6,2,-26
b1,3,-181
g6,2,-26
c3,3,-80
g6,2,-26
d4,3,-101
g6,2,-26
h4,3,-103
g6,2,-26
e5,3,-109
g6,2,-26
f5,3,-113
g6,2,-26
e6,3,-105
g6,2,-26
f6,3,-126
g6,2,-26
a7,3,-141
g6,2,-26
b7,3,-157
g6,2,-26
c7,3,-135
g6,2,-26
c2,1,-46
g8,2,-Infinity
a1,3,-46
g8,2,-46
b1,3,-201
g8,2,-46
c3,3,-100
g8,2,-46
d4,3,-121
g8,2,-46
h4,3,-123
g8,2,-46
e5,3,-129
g8,2,-46
f5,3,-133
g8,2,-46
e6,3,-125
g8,2,-46
a7,3,-161
g8,2,-46
b7,3,-177
g8,2,-46
c7,3,-147
g8,2,-46
c2,1,-46
root,0,-6
c3,1,Infinity
f1,2,-Infinity
a1,3,-21
f1,2,-21
b1,3,-136
f1,2,-21
c2,3,-84
f1,2,-21
d4,3,-64
f1,2,-21
h4,3,-50
f1,2,-21
e5,3,-64
f1,2,-21
f5,3,-60
f1,2,-21
e6,3,-60
f1,2,-21
a7,3,-88
f1,2,-21
b7,3,-90
f1,2,-21
c7,3,-74
f1,2,-21
c3,1,-21
c2,2,-Infinity
a1,3,-15
c2,2,-15
b1,3,-178
c2,2,-15
d4,3,-90
c2,2,-15
h4,3,-92
c2,2,-15
e5,3,-98
c2,2,-15
f5,3,-102
c2,2,-15
e6,3,-102
c2,2,-15
b7,3,-132
c2,2,-15
c7,3,-94
c2,2,-15
c3,1,-21
f2,2,-Infinity
a1,3,-39
f2,2,-39
b1,3,-154
f2,2,-39
c2,3,-102
f2,2,-39
g2,3,-122
f2,2,-39
d4,3,-82
f2,2,-39
h4,3,-68
f2,2,-39
e5,3,-82
f2,2,-39
f5,3,-86
f2,2,-39
e6,3,-78
f2,2,-39
a7,3,-106
f2,2,-39
b7,3,-122
f2,2,-39
c7,3,-92
f2,2,-39
c3,1,-39
g2,2,-Infinity
a1,3,-19
g2,2,-19
b1,3,-134
g2,2,-19
c2,3,-82
g2,2,-19
f2,3,-122
g2,2,-19
d4,3,-62
g2,2,-19
h4,3,-48
g2,2,-19
e5,3,-62
g2,2,-19
f5,3,-66
g2,2,-19
e6,3,-58
g2,2,-19
a7,3,-86
g2,2,-19
b7,3,-102
g2,2,-19
c7,3,-72
g2,2,-19
c3,1,-39
d4,2,-Infinity
a1,3,-3
d4,2,-3
b1,3,-166
d4,2,-3
c2,3,-100
d4,2,-3
h4,3,-80
d4,2,-3
e5,3,-86
d4,2,-3
f5,3,-90
d4,2,-3
e6,3,-90
d4,2,-3
a7,3,-110
d4,2,-3
b7,3,-120
d4,2,-3
c7,3,-96
d4,2,-3
c3,1,-39
