*OO**XOX
XOOOXOX*
**OOO**X
X*OOXOXO
OOOOOXOX
**XXXOOX
*OOOXOOX
XXOO*X*O
Node,Depth,Value
root,0,-Infinity
c1,1,Infinity
d1,2,-Infinity
e1,3,-143
d1,2,-143
h2,3,-205
d1,2,-143
a3,3,-145
d1,2,-143
f3,3,-144
d1,2,-143
g3,3,-223
d1,2,-143
b6,3,-139
d1,2,-139
e8,3,-157
d1,2,-139
c1,1,-139
b3,2,-Infinity
e1,3,-145
b3,2,-145
h2,3,-201
b3,2,-145
a3,3,-149
b3,2,-145
f3,3,-140
b3,2,-140
g3,3,-219
b3,2,-140
b4,3,-164
b3,2,-140
b6,3,-135
b3,2,-135
e8,3,-153
b3,2,-135
c1,1,-139
f3,2,-Infinity
e1,3,-148
f3,2,-148
h2,3,-218
f3,2,-148
a3,3,-144
f3,2,-144
g3,3,-200
f3,2,-144
b6,3,-138
f3,2,-138
e8,3,-156
f3,2,-138
c1,1,-139
g3,2,-Infinity
e1,3,-145
g3,2,-145
h2,3,-193
g3,2,-145
a3,3,-141
g3,2,-141
f3,3,-138
g3,2,-138
b6,3,-135
g3,2,-135
e8,3,-153
g3,2,-135
c1,1,-139
b4,2,-Infinity
e1,3,-154
b4,2,-154
h2,3,-210
b4,2,-154
a3,3,-150
b4,2,-150
b3,3,-172
b4,2,-150
f3,3,-163
b4,2,-150
g3,3,-228
b4,2,-150
b6,3,-136
b4,2,-136
e8,3,-162
b4,2,-136
c1,1,-139
a6,2,-Infinity
e1,3,-171
a6,2,-171
h2,3,-227
a6,2,-171
b3,3,-183
a6,2,-171
f3,3,-180
a6,2,-171
g3,3,-245
a6,2,-171
b4,3,-182
a6,2,-171
b6,3,-161
a6,2,-161
e8,3,-179
a6,2,-161
c1,1,-161
b6,2,-Infinity
e1,3,-89
b6,2,-89
h2,3,-145
b6,2,-89
a3,3,-85
b6,2,-85
f3,3,-98
b6,2,-85
g3,3,-163
b6,2,-85
a6,3,-123
b6,2,-85
a7,3,-169
b6,2,-85
e8,3,-97
b6,2,-85
c1,1,-161
a7,2,-Infinity
e1,3,-71
a7,2,-71
h2,3,-127
a7,2,-71
a3,3,-67
a7,2,-67
f3,3,-80
a7,2,-67
g3,3,-145
a7,2,-67
a6,3,-127
a7,2,-67
b6,3,-69
a7,2,-67
e8,3,-71
a7,2,-67
c1,1,-161
e8,2,-Infinity
e1,3,-153
e8,2,-153
h2,3,-209
e8,2,-153
a3,3,-149
e8,2,-149
f3,3,-162
e8,2,-149
g3,3,-227
e8,2,-149
b6,3,-143
e8,2,-143
g8,3,-177
e8,2,-143
c1,1,-161
g8,2,-Infinity
e1,3,-63
g8,2,-63
h2,3,-119
g8,2,-63
a3,3,-59
g8,2,-59
f3,3,-72
g8,2,-59
g3,3,-131
g8,2,-59
b6,3,-53
g8,2,-53
e8,3,-71
g8,2,-53
c1,1,-161
root,0,-161
d1,1,Infinity
a1,2,-Infinity
c1,3,-210
a1,2,-210
e1,3,-208
a1,2,-208
h2,3,-272
a1,2,-208
a3,3,-212
a1,2,-208
b3,3,-270
a1,2,-208
f3,3,-223
a1,2,-208
g3,3,-290
a1,2,-208
b4,3,-213
a1,2,-208
b6,3,-206
a1,2,-206
e8,3,-224
a1,2,-206
d1,1,-206
c1,2,-Infinity
e1,3,-159
c1,2,-159
h2,3,-223
c1,2,-159
a3,3,-163
c1,2,-159
b3,3,-173
c1,2,-159
f3,3,-174
c1,2,-159
g3,3,-241
c1,2,-159
b4,3,-178
c1,2,-159
b6,3,-157
c1,2,-157
e8,3,-175
c1,2,-157
d1,1,-206
e1,2,-Infinity
c1,3,-157
e1,2,-157
h2,3,-221
e1,2,-157
a3,3,-161
e1,2,-157
b3,3,-171
e1,2,-157
f3,3,-172
e1,2,-157
g3,3,-239
e1,2,-157
b4,3,-176
e1,2,-157
b6,3,-155
e1,2,-155
e8,3,-173
e1,2,-155
d1,1,-206
f3,2,-Infinity
c1,3,-166
f3,2,-166
e1,3,-164
f3,2,-164
h2,3,-242
f3,2,-164
a3,3,-168
f3,2,-164
b3,3,-178
f3,2,-164
g3,3,-216
f3,2,-164
b4,3,-169
f3,2,-164
b6,3,-162
f3,2,-162
e8,3,-180
f3,2,-162
d1,1,-206
g3,2,-Infinity
c1,3,-163
g3,2,-163
e1,3,-163
g3,2,-163
h2,3,-217
g3,2,-163
a3,3,-165
g3,2,-163
b3,3,-175
g3,2,-163
f3,3,-160
g3,2,-160
b4,3,-166
g3,2,-160
b6,3,-159
g3,2,-159
d1,1,-206
b4,2,-Infinity
c1,3,-142
b4,2,-142
e1,3,-162
b4,2,-142
h2,3,-226
b4,2,-142
a3,3,-166
b4,2,-142
b3,3,-182
b4,2,-142
f3,3,-177
b4,2,-142
g3,3,-244
b4,2,-142
b6,3,-152
b4,2,-142
e8,3,-178
b4,2,-142
d1,1,-206
a6,2,-Infinity
c1,3,-173
a6,2,-173
e1,3,-171
a6,2,-171
h2,3,-235
a6,2,-171
b3,3,-185
a6,2,-171
f3,3,-186
a6,2,-171
g3,3,-253
a6,2,-171
b4,3,-176
a6,2,-171
b6,3,-169
a6,2,-169
e8,3,-187
a6,2,-169
d1,1,-206
b6,2,-Infinity
c1,3,-93
b6,2,-93
e1,3,-113
b6,2,-93
h2,3,-177
b6,2,-93
a3,3,-117
b6,2,-93
b3,3,-127
b6,2,-93
f3,3,-128
b6,2,-93
g3,3,-195
b6,2,-93
b4,3,-118
b6,2,-93
a6,3,-155
b6,2,-93
a7,3,-185
b6,2,-93
e8,3,-129
b6,2,-93
d1,1,-206
a7,2,-Infinity
c1,3,-89
a7,2,-89
e1,3,-87
a7,2,-87
h2,3,-151
a7,2,-87
a3,3,-91
a7,2,-87
b3,3,-101
a7,2,-87
f3,3,-102
a7,2,-87
g3,3,-169
a7,2,-87
b4,3,-92
a7,2,-87
a6,3,-151
a7,2,-87
b6,3,-93
a7,2,-87
e8,3,-95
a7,2,-87
d1,1,-206
e8,2,-Infinity
c1,3,-171
e8,2,-171
e1,3,-169
e8,2,-169
h2,3,-233
e8,2,-169
a3,3,-173
e8,2,-169
b3,3,-183
e8,2,-169
f3,3,-184
e8,2,-169
g3,3,-251
e8,2,-169
b4,3,-174
e8,2,-169
b6,3,-167
e8,2,-167
g8,3,-201
e8,2,-167
d1,1,-206
g8,2,-Infinity
c1,3,-81
g8,2,-81
e1,3,-79
g8,2,-79
h2,3,-143
g8,2,-79
a3,3,-83
g8,2,-79
b3,3,-93
g8,2,-79
f3,3,-94
g8,2,-79
g3,3,-155
g8,2,-79
b4,3,-84
g8,2,-79
b6,3,-77
g8,2,-77
e8,3,-95
g8,2,-77
d1,1,-206
root,0,-161
e1,1,Infinity
a1,2,-Infinity
c1,3,-192
a1,2,-192
d1,3,-208
a1,2,-192
h2,3,-248
a1,2,-192
a3,3,-188
a1,2,-188
b3,3,-238
a1,2,-188
g3,3,-266
a1,2,-188
b4,3,-195
a1,2,-188
b6,3,-182
a1,2,-182
e8,3,-200
a1,2,-182
e1,1,-182
d1,2,-Infinity
c1,3,-159
d1,2,-159
h2,3,-215
d1,2,-159
a3,3,-155
d1,2,-155
b3,3,-157
d1,2,-155
g3,3,-185
d1,2,-155
b4,3,-170
d1,2,-155
b6,3,-149
d1,2,-149
e8,3,-167
d1,2,-149
e1,1,-182
f3,2,-Infinity
c1,3,-156
f3,2,-156
d1,3,-180
f3,2,-156
h2,3,-228
f3,2,-156
a3,3,-168
f3,2,-156
b3,3,-176
f3,2,-156
g3,3,-238
f3,2,-156
b4,3,-175
f3,2,-156
b6,3,-162
f3,2,-156
e8,3,-180
f3,2,-156
e1,1,-182
g3,2,-Infinity
c1,3,-145
g3,2,-145
d1,3,-161
g3,2,-145
h2,3,-193
g3,2,-145
a3,3,-141
g3,2,-141
b3,3,-143
g3,2,-141
f3,3,-138
g3,2,-138
b4,3,-148
g3,2,-138
b6,3,-135
g3,2,-135
e8,3,-153
g3,2,-135
e1,1,-182
b4,2,-Infinity
c1,3,-124
b4,2,-124
d1,3,-162
b4,2,-124
h2,3,-202
b4,2,-124
a3,3,-142
b4,2,-124
b3,3,-150
b4,2,-124
g3,3,-220
b4,2,-124
b6,3,-128
b4,2,-124
e8,3,-154
b4,2,-124
e1,1,-182
a6,2,-Infinity
c1,3,-155
a6,2,-155
d1,3,-171
a6,2,-155
h2,3,-211
a6,2,-155
b3,3,-153
a6,2,-153
g3,3,-229
a6,2,-153
b4,3,-158
a6,2,-153
b6,3,-145
a6,2,-145
e8,3,-163
a6,2,-145
e1,1,-182
b6,2,-Infinity
c1,3,-89
b6,2,-89
d1,3,-105
b6,2,-89
h2,3,-145
b6,2,-89
a3,3,-85
b6,2,-85
b3,3,-87
b6,2,-85
g3,3,-163
b6,2,-85
b4,3,-92
b6,2,-85
a6,3,-123
b6,2,-85
a7,3,-169
b6,2,-85
e8,3,-97
b6,2,-85
e1,1,-182
a7,2,-Infinity
c1,3,-71
a7,2,-71
d1,3,-87
a7,2,-71
h2,3,-127
a7,2,-71
a3,3,-67
a7,2,-67
b3,3,-69
a7,2,-67
g3,3,-145
a7,2,-67
b4,3,-74
a7,2,-67
a6,3,-127
a7,2,-67
b6,3,-69
a7,2,-67
e8,3,-71
a7,2,-67
e1,1,-182
e8,2,-Infinity
c1,3,-153
e8,2,-153
d1,3,-169
e8,2,-153
h2,3,-209
e8,2,-153
a3,3,-149
e8,2,-149
b3,3,-151
e8,2,-149
g3,3,-227
e8,2,-149
b4,3,-156
e8,2,-149
b6,3,-143
e8,2,-143
g8,3,-177
e8,2,-143
e1,1,-182
g8,2,-Infinity
c1,3,-63
g8,2,-63
d1,3,-79
g8,2,-63
h2,3,-119
g8,2,-63
a3,3,-59
g8,2,-59
b3,3,-61
g8,2,-59
g3,3,-131
g8,2,-59
b4,3,-66
g8,2,-59
b6,3,-53
g8,2,-53
e8,3,-71
g8,2,-53
e1,1,-182
root,0,-161
h2,1,Infinity
a1,2,-Infinity
c1,3,-248
a1,2,-248
d1,3,-272
a1,2,-248
e1,3,-248
a1,2,-248
