*OXXXXOX
**OXO*OX
***O**OX
XO***OXO
*XX**OXX
OOO***X*
*XO*O**O
XOXXOOO*
Node,Depth,Value
root,0,-Infinity
c1,1,Infinity
c4,2,-Infinity
a1,3,335
c4,2,335
b2,3,220
c4,2,335
f2,3,194
c4,2,335
b3,3,220
c4,2,335
c3,3,273
c4,2,335
e3,3,258
c4,2,335
f3,3,197
c4,2,335
d4,3,262
c4,2,335
e4,3,268
c4,2,335
a5,3,242
c4,2,335
d5,3,266
c4,2,335
e5,3,260
c4,2,335
e6,3,264
c4,2,335
f6,3,253
c4,2,335
d7,3,249
c4,2,335
h8,3,363
c4,2,363
c1,1,363
d4,2,-Infinity
a1,3,333
d4,2,333
b2,3,218
d4,2,333
f2,3,192
d4,2,333
b3,3,232
d4,2,333
c3,3,249
d4,2,333
e3,3,256
d4,2,333
f3,3,195
d4,2,333
c4,3,264
d4,2,333
e4,3,266
d4,2,333
a5,3,240
d4,2,333
d5,3,280
d4,2,333
e5,3,258
d4,2,333
e6,3,262
d4,2,333
f6,3,251
d4,2,333
d7,3,253
d4,2,333
h8,3,361
d4,2,361
c1,1,361
d6,2,-Infinity
a1,3,329
d6,2,329
b2,3,214
d6,2,329
f2,3,188
d6,2,329
b3,3,228
d6,2,329
c3,3,245
d6,2,329
e3,3,252
d6,2,329
f3,3,191
d6,2,329
c4,3,260
d6,2,329
d4,3,254
d6,2,329
e4,3,262
d6,2,329
a5,3,236
d6,2,329
d5,3,268
d6,2,329
e5,3,254
d6,2,329
e6,3,258
d6,2,329
f6,3,247
d6,2,329
d7,3,249
d6,2,329
h8,3,357
d6,2,357
c1,1,357
f6,2,-Infinity
a1,3,340
f6,2,340
b2,3,225
f6,2,340
f2,3,199
f6,2,340
a3,3,259
f6,2,340
b3,3,239
f6,2,340
c3,3,256
f6,2,340
e3,3,255
f6,2,340
f3,3,202
f6,2,340
c4,3,257
f6,2,340
d4,3,265
f6,2,340
e4,3,273
f6,2,340
a5,3,247
f6,2,340
d5,3,271
f6,2,340
e5,3,259
f6,2,340
e6,3,283
f6,2,340
a7,3,241
f6,2,340
d7,3,260
f6,2,340
h8,3,368
f6,2,368
c1,1,357
h6,2,-Infinity
a1,3,327
h6,2,327
b2,3,212
h6,2,327
f2,3,186
h6,2,327
a3,3,246
h6,2,327
b3,3,226
h6,2,327
c3,3,243
h6,2,327
e3,3,242
h6,2,327
f3,3,189
h6,2,327
c4,3,244
h6,2,327
d4,3,252
h6,2,327
e4,3,260
h6,2,327
a5,3,234
h6,2,327
d5,3,258
h6,2,327
e5,3,244
h6,2,327
e6,3,256
h6,2,327
f6,3,245
h6,2,327
a7,3,228
h6,2,327
d7,3,247
h6,2,327
h8,3,379
h6,2,379
c1,1,357
a7,2,-Infinity
a1,3,397
a7,2,397
b2,3,282
a7,2,397
f2,3,256
a7,2,397
a3,3,316
a7,2,397
b3,3,296
a7,2,397
c3,3,313
a7,2,397
e3,3,320
a7,2,397
f3,3,259
a7,2,397
c4,3,314
a7,2,397
d4,3,322
a7,2,397
e4,3,330
a7,2,397
a5,3,304
a7,2,397
d5,3,280
a7,2,397
e5,3,322
a7,2,397
e6,3,326
a7,2,397
f6,3,315
a7,2,397
d7,3,325
a7,2,397
h8,3,425
a7,2,425
c1,1,357
g7,2,-Infinity
a1,3,385
g7,2,385
b2,3,270
g7,2,385
f2,3,244
g7,2,385
a3,3,304
g7,2,385
b3,3,284
g7,2,385
c3,3,301
g7,2,385
e3,3,300
g7,2,385
f3,3,241
g7,2,385
c4,3,302
g7,2,385
d4,3,310
g7,2,385
a5,3,292
g7,2,385
d5,3,316
g7,2,385
e5,3,304
g7,2,385
e6,3,308
g7,2,385
f6,3,303
g7,2,385
a7,3,286
g7,2,385
d7,3,305
g7,2,385
f7,3,290
g7,2,385
h8,3,413
g7,2,413
c1,1,357
root,0,357
b2,1,Infinity
a2,2,-Infinity
c1,3,296
a2,2,296
f2,3,212
a2,2,296
a3,3,266
a2,2,296
b3,3,254
a2,2,296
e3,3,276
a2,2,296
f3,3,215
a2,2,296
c4,3,264
a2,2,296
e4,3,280
a2,2,296
a5,3,254
a2,2,296
d5,3,278
a2,2,296
e5,3,272
a2,2,296
e6,3,276
a2,2,296
f6,3,265
a2,2,296
a7,3,248
a2,2,296
d7,3,267
a2,2,296
h8,3,375
a2,2,375
b2,1,375
b3,2,-Infinity
c1,3,286
b3,2,286
a2,3,190
b3,2,286
f2,3,196
b3,2,286
a3,3,256
b3,2,286
e3,3,266
b3,2,286
f3,3,205
b3,2,286
c4,3,254
b3,2,286
d4,3,262
b3,2,286
e4,3,270
b3,2,286
a5,3,244
b3,2,286
d5,3,268
b3,2,286
e5,3,262
b3,2,286
e6,3,266
b3,2,286
f6,3,255
b3,2,286
a7,3,238
b3,2,286
d7,3,257
b3,2,286
h8,3,365
b3,2,365
b2,1,365
c3,2,-Infinity
c1,3,225
c3,2,225
f2,3,129
c3,2,225
a3,3,195
c3,2,225
b3,3,183
c3,2,225
e3,3,205
c3,2,225
f3,3,144
c3,2,225
c4,3,207
c3,2,225
d4,3,207
c3,2,225
e4,3,217
c3,2,225
a5,3,183
c3,2,225
d5,3,207
c3,2,225
e5,3,201
c3,2,225
e6,3,205
c3,2,225
f6,3,194
c3,2,225
a7,3,177
c3,2,225
d7,3,196
c3,2,225
h8,3,304
c3,2,304
b2,1,304
c4,2,-Infinity
c1,3,220
c4,2,220
f2,3,130
c4,2,220
b3,3,164
c4,2,220
c3,3,217
c4,2,220
e3,3,200
c4,2,220
f3,3,139
c4,2,220
d4,3,198
c4,2,220
e4,3,212
c4,2,220
a5,3,178
c4,2,220
d5,3,202
c4,2,220
e5,3,196
c4,2,220
e6,3,200
c4,2,220
f6,3,189
c4,2,220
d7,3,185
c4,2,220
h8,3,299
c4,2,299
b2,1,299
d4,2,-Infinity
c1,3,218
d4,2,218
f2,3,128
d4,2,218
b3,3,176
d4,2,218
e3,3,198
d4,2,218
f3,3,137
d4,2,218
c4,3,200
d4,2,218
e4,3,210
d4,2,218
a5,3,176
d4,2,218
d5,3,216
d4,2,218
e5,3,194
d4,2,218
e6,3,198
d4,2,218
f6,3,187
d4,2,218
d7,3,189
d4,2,218
h8,3,297
d4,2,297
b2,1,297
d6,2,-Infinity
c1,3,214
d6,2,214
f2,3,124
d6,2,214
b3,3,172
d6,2,214
e3,3,194
d6,2,214
f3,3,133
d6,2,214
c4,3,196
d6,2,214
d4,3,190
d6,2,214
e4,3,206
d6,2,214
a5,3,172
d6,2,214
d5,3,204
d6,2,214
e5,3,190
d6,2,214
e6,3,194
d6,2,214
f6,3,183
d6,2,214
d7,3,185
d6,2,214
h8,3,293
d6,2,293
b2,1,293
f6,2,-Infinity
c1,3,225
f6,2,225
f2,3,135
f6,2,225
a3,3,195
f6,2,225
b3,3,183
f6,2,225
f3,3,144
f6,2,225
c4,3,193
f6,2,225
d4,3,201
f6,2,225
e4,3,217
f6,2,225
a5,3,183
f6,2,225
d5,3,207
f6,2,225
e5,3,195
f6,2,225
e6,3,219
f6,2,225
a7,3,177
f6,2,225
d7,3,196
f6,2,225
h8,3,304
f6,2,304
b2,1,293
h6,2,-Infinity
c1,3,212
h6,2,212
f2,3,122
h6,2,212
a3,3,182
h6,2,212
b3,3,170
h6,2,212
f3,3,131
h6,2,212
c4,3,180
h6,2,212
d4,3,188
h6,2,212
e4,3,204
h6,2,212
a5,3,170
h6,2,212
d5,3,194
h6,2,212
e5,3,180
h6,2,212
e6,3,192
h6,2,212
f6,3,181
h6,2,212
a7,3,164
h6,2,212
d7,3,183
h6,2,212
h8,3,315
h6,2,315
b2,1,293
a7,2,-Infinity
c1,3,282
a7,2,282
f2,3,192
a7,2,282
a3,3,252
a7,2,282
b3,3,240
a7,2,282
e3,3,262
a7,2,282
f3,3,201
a7,2,282
c4,3,250
a7,2,282
d4,3,258
a7,2,282
e4,3,274
a7,2,282
a5,3,240
a7,2,282
d5,3,216
a7,2,282
e5,3,258
a7,2,282
e6,3,262
a7,2,282
f6,3,251
a7,2,282
d7,3,261
a7,2,282
h8,3,361
a7,2,361
b2,1,293
g7,2,-Infinity
c1,3,270
g7,2,270
f2,3,180
g7,2,270
a3,3,240
g7,2,270
b3,3,228
g7,2,270
f3,3,183
g7,2,270
c4,3,238
g7,2,270
d4,3,246
g7,2,270
e4,3,246
g7,2,270
a5,3,228
g7,2,270
d5,3,252
g7,2,270
e5,3,240
g7,2,270
e6,3,244
g7,2,270
f6,3,239
g7,2,270
a7,3,222
g7,2,270
d7,3,241
g7,2,270
f7,3,226
g7,2,270
h8,3,349
g7,2,349
b2,1,293
root,0,357
f2,1,Infinity
c3,2,-Infinity
c1,3,199
c3,2,199
b2,3,129
c3,2,199
a3,3,169
c3,2,199
b3,3,157
c3,2,199
e3,3,179
c3,2,199
f3,3,166
c3,2,199
c4,3,173
c3,2,199
e4,3,183
c3,2,199
a5,3,157
c3,2,199
d5,3,181
c3,2,199
e5,3,175
c3,2,199
e6,3,179
c3,2,199
f6,3,168
c3,2,199
a7,3,151
c3,2,199
d7,3,170
c3,2,199
h8,3,278
c3,2,278
f2,1,278
e3,2,-Infinity
c1,3,210
e3,2,210
b2,3,146
e3,2,210
a3,3,180
e3,2,210
b3,3,168
e3,2,210
f3,3,169
e3,2,210
c4,3,178
e3,2,210
d4,3,186
e3,2,210
e4,3,194
e3,2,210
a5,3,168
e3,2,210
d5,3,192
e3,2,210
e5,3,186
e3,2,210
e6,3,190
e3,2,210
f6,3,179
e3,2,210
a7,3,162
e3,2,210
d7,3,181
e3,2,210
h8,3,289
e3,2,289
f2,1,278
f3,2,-Infinity
c1,3,199
f3,2,199
b2,3,135
f3,2,199
a3,3,169
f3,2,199
b3,3,157
f3,2,199
e3,3,185
f3,2,199
c4,3,167
f3,2,199
d4,3,175
f3,2,199
e4,3,197
f3,2,199
a5,3,157
f3,2,199
d5,3,181
f3,2,199
e5,3,175
f3,2,199
e6,3,179
f3,2,199
f6,3,198
f3,2,199
a7,3,151
f3,2,199
d7,3,170
f3,2,199
