OOO**OOO
XOOOO*XX
X*XXOX*X
XO*X**XX
X*OOXOOX
XXO*X**X
XO*XXXOO
OX*OX**O
Node,Depth,Value
root,0,-Infinity
d1,1,Infinity
e1,2,-Infinity
f2,3,-424
e1,2,-424
b3,3,-350
e1,2,-350
h3,3,-340
e1,2,-340
c4,3,-362
e1,2,-340
f4,3,-362
e1,2,-340
b5,3,-341
e1,2,-340
d6,3,-340
e1,2,-340
g6,3,-370
e1,2,-340
c7,3,-412
e1,2,-340
c8,3,-388
e1,2,-340
f8,3,-400
e1,2,-340
d1,1,-340
f2,2,-Infinity
e1,3,-324
f2,2,-324
b3,3,-336
f2,2,-324
h3,3,-304
f2,2,-304
c4,3,-326
f2,2,-304
f4,3,-326
f2,2,-304
b5,3,-305
f2,2,-304
d6,3,-304
f2,2,-304
g6,3,-334
f2,2,-304
c7,3,-376
f2,2,-304
c8,3,-352
f2,2,-304
f8,3,-364
f2,2,-304
d1,1,-340
b3,2,-Infinity
f2,3,-354
b3,2,-354
h3,3,-338
b3,2,-338
c4,3,-360
b3,2,-338
e4,3,-350
b3,2,-338
f4,3,-352
b3,2,-338
b5,3,-339
b3,2,-338
d6,3,-338
b3,2,-338
g6,3,-368
b3,2,-338
c7,3,-410
b3,2,-338
c8,3,-386
b3,2,-338
f8,3,-398
b3,2,-338
d1,1,-340
g3,2,-Infinity
f2,3,-340
g3,2,-340
b3,3,-308
g3,2,-308
h3,3,-260
g3,2,-260
c4,3,-298
g3,2,-260
e4,3,-288
g3,2,-260
f4,3,-298
g3,2,-260
b5,3,-277
g3,2,-260
d6,3,-276
g3,2,-260
c7,3,-348
g3,2,-260
c8,3,-324
g3,2,-260
f8,3,-336
g3,2,-260
d1,1,-340
h3,2,-Infinity
f2,3,-274
h3,2,-274
b3,3,-290
h3,2,-274
c4,3,-280
h3,2,-274
e4,3,-270
h3,2,-270
f4,3,-272
h3,2,-270
b5,3,-259
h3,2,-259
d6,3,-258
h3,2,-258
c7,3,-330
h3,2,-258
c8,3,-306
h3,2,-258
f8,3,-318
h3,2,-258
d1,1,-340
c4,2,-Infinity
f2,3,-362
c4,2,-362
b3,3,-334
c4,2,-334
h3,3,-340
c4,2,-334
f4,3,-354
c4,2,-334
b5,3,-341
c4,2,-334
d6,3,-340
c4,2,-334
g6,3,-370
c4,2,-334
c7,3,-412
c4,2,-334
c8,3,-388
c4,2,-334
f8,3,-400
c4,2,-334
d1,1,-340
e4,2,-Infinity
f2,3,-358
e4,2,-358
b3,3,-326
e4,2,-326
g3,3,-288
e4,2,-288
h3,3,-294
e4,2,-288
c4,3,-308
e4,2,-288
f4,3,-308
e4,2,-288
b5,3,-295
e4,2,-288
d6,3,-294
e4,2,-288
g6,3,-324
e4,2,-288
c7,3,-366
e4,2,-288
c8,3,-342
e4,2,-288
f8,3,-354
e4,2,-288
d1,1,-340
f4,2,-Infinity
f2,3,-334
f4,2,-334
b3,3,-350
f4,2,-334
g3,3,-334
f4,2,-334
h3,3,-316
f4,2,-316
c4,3,-340
f4,2,-316
e4,3,-330
f4,2,-316
b5,3,-319
f4,2,-316
d6,3,-318
f4,2,-316
f6,3,-315
f4,2,-315
c7,3,-390
f4,2,-315
c8,3,-366
f4,2,-315
f8,3,-378
f4,2,-315
d1,1,-340
b5,2,-Infinity
f2,3,-325
b5,2,-325
b3,3,-409
b5,2,-325
h3,3,-309
b5,2,-309
c4,3,-337
b5,2,-309
e4,3,-321
b5,2,-309
f4,3,-323
b5,2,-309
d6,3,-317
b5,2,-309
g6,3,-339
b5,2,-309
c7,3,-389
b5,2,-309
c8,3,-357
b5,2,-309
f8,3,-369
b5,2,-309
d1,1,-340
d6,2,-Infinity
f2,3,-334
d6,2,-334
b3,3,-350
d6,2,-334
h3,3,-318
d6,2,-318
c4,3,-340
d6,2,-318
e4,3,-330
d6,2,-318
f4,3,-332
d6,2,-318
b5,3,-325
d6,2,-318
g6,3,-348
d6,2,-318
c7,3,-388
d6,2,-318
c8,3,-372
d6,2,-318
f8,3,-378
d6,2,-318
d1,1,-340
f6,2,-Infinity
f2,3,-343
f6,2,-343
b3,3,-353
f6,2,-343
h3,3,-335
f6,2,-335
c4,3,-357
f6,2,-335
e4,3,-347
f6,2,-335
f4,3,-327
f6,2,-327
b5,3,-334
f6,2,-327
d6,3,-335
f6,2,-327
g6,3,-351
f6,2,-327
c7,3,-407
f6,2,-327
c8,3,-383
f6,2,-327
f8,3,-395
f6,2,-327
d1,1,-340
c7,2,-Infinity
f2,3,-312
c7,2,-312
b3,3,-328
c7,2,-312
h3,3,-296
c7,2,-296
c4,3,-318
c7,2,-296
e4,3,-308
c7,2,-296
f4,3,-310
c7,2,-296
b5,3,-303
c7,2,-296
d6,3,-304
c7,2,-296
g6,3,-334
c7,2,-296
c8,3,-350
c7,2,-296
f8,3,-356
c7,2,-296
g8,3,-332
c7,2,-296
d1,1,-340
c8,2,-Infinity
f2,3,-330
c8,2,-330
b3,3,-346
c8,2,-330
h3,3,-314
c8,2,-314
c4,3,-328
c8,2,-314
e4,3,-326
c8,2,-314
f4,3,-328
c8,2,-314
b5,3,-321
c8,2,-314
d6,3,-314
c8,2,-314
g6,3,-344
c8,2,-314
c7,3,-392
c8,2,-314
f8,3,-374
c8,2,-314
d1,1,-340
f8,2,-Infinity
f2,3,-356
f8,2,-356
b3,3,-372
f8,2,-356
h3,3,-340
