XOX**X*X
X****XXO
XXX***O*
X*X**O*O
XO*XO*OO
X*O****X
OOXXXOOX
*OO*O**O
Node,Depth,Value
root,0,-Infinity
a2,1,Infinity
d1,2,-Infinity
e1,3,157
d1,2,157
e3,3,145
d1,2,157
h3,3,155
d1,2,157
g4,3,128
d1,2,157
c5,3,151
d1,2,157
f5,3,143
d1,2,157
a8,3,188
d1,2,188
f8,3,99
d1,2,188
a2,1,188
e1,2,-Infinity
d1,3,181
e1,2,181
e2,3,152
e1,2,181
e3,3,169
e1,2,181
f3,3,162
e1,2,181
h3,3,179
e1,2,181
g4,3,152
e1,2,181
c5,3,175
e1,2,181
f5,3,167
e1,2,181
a8,3,212
e1,2,212
f8,3,123
e1,2,212
a2,1,188
g1,2,-Infinity
e3,3,223
g1,2,223
f3,3,176
g1,2,223
h3,3,185
g1,2,223
c5,3,229
g1,2,229
f5,3,221
g1,2,229
a8,3,266
g1,2,266
f8,3,177
g1,2,266
a2,1,188
e2,2,-Infinity
d3,3,218
e2,2,218
e3,3,226
e2,2,226
f3,3,171
e2,2,226
h3,3,188
e2,2,226
c5,3,232
e2,2,232
f5,3,224
e2,2,232
a8,3,269
e2,2,269
f8,3,180
e2,2,269
a2,1,188
d3,2,-Infinity
e2,3,156
d3,2,156
e3,3,163
d3,2,163
h3,3,165
d3,2,165
g4,3,138
d3,2,165
c5,3,169
d3,2,169
f5,3,153
d3,2,169
a8,3,198
d3,2,198
f8,3,109
d3,2,198
a2,1,188
e4,2,-Infinity
e3,3,167
e4,2,167
h3,3,177
e4,2,177
g4,3,150
e4,2,177
c5,3,173
e4,2,177
e6,3,165
e4,2,177
a8,3,244
e4,2,244
f8,3,121
e4,2,244
a2,1,188
c5,2,-Infinity
e3,3,163
c5,2,163
h3,3,173
c5,2,173
g4,3,146
c5,2,173
f5,3,163
c5,2,173
e6,3,161
c5,2,173
a8,3,240
c5,2,240
f8,3,117
c5,2,240
a2,1,188
d6,2,-Infinity
e3,3,171
d6,2,171
h3,3,181
d6,2,181
g4,3,154
d6,2,181
c5,3,171
d6,2,181
f5,3,169
d6,2,181
a8,3,214
d6,2,214
f8,3,125
d6,2,214
a2,1,188
e6,2,-Infinity
e3,3,175
e6,2,175
h3,3,185
e6,2,185
g4,3,158
e6,2,185
c5,3,181
e6,2,185
f5,3,173
e6,2,185
a8,3,218
e6,2,218
f8,3,129
e6,2,218
g8,3,161
e6,2,218
a2,1,188
root,0,188
d3,1,Infinity
d1,2,-Infinity
e1,3,131
d1,2,131
a2,3,137
d1,2,137
e3,3,119
d1,2,137
h3,3,129
d1,2,137
g4,3,102
d1,2,137
c5,3,131
d1,2,137
f5,3,117
d1,2,137
a8,3,162
d1,2,162
f8,3,73
d1,2,162
d3,1,162
e1,2,-Infinity
d1,3,155
e1,2,155
a2,3,161
e1,2,161
e2,3,126
e1,2,161
e3,3,143
e1,2,161
f3,3,136
e1,2,161
h3,3,153
e1,2,161
g4,3,126
e1,2,161
c5,3,155
e1,2,161
f5,3,141
e1,2,161
a8,3,186
e1,2,186
f8,3,97
e1,2,186
d3,1,162
g1,2,-Infinity
a2,3,215
g1,2,215
e3,3,197
g1,2,215
f3,3,150
g1,2,215
h3,3,159
g1,2,215
c5,3,209
g1,2,215
f5,3,195
g1,2,215
a8,3,240
g1,2,240
f8,3,151
g1,2,240
d3,1,162
e2,2,-Infinity
a2,3,218
e2,2,218
e3,3,200
e2,2,218
f3,3,145
e2,2,218
h3,3,162
e2,2,218
c5,3,212
e2,2,218
f5,3,198
e2,2,218
a8,3,243
e2,2,243
f8,3,154
e2,2,243
d3,1,162
e3,2,-Infinity
a2,3,133
e3,2,133
c2,3,119
e3,2,133
d2,3,116
e3,2,133
e2,3,114
e3,2,133
h3,3,125
e3,2,133
d4,3,117
e3,2,133
g4,3,98
e3,2,133
c5,3,127
e3,2,133
f5,3,113
e3,2,133
a8,3,158
e3,2,158
f8,3,69
e3,2,158
d3,1,158
e4,2,-Infinity
a2,3,159
e4,2,159
e3,3,141
e4,2,159
h3,3,151
e4,2,159
g4,3,124
e4,2,159
c5,3,153
e4,2,159
f5,3,139
e4,2,159
e6,3,139
e4,2,159
a8,3,218
e4,2,218
f8,3,95
e4,2,218
d3,1,158
c5,2,-Infinity
a2,3,161
c5,2,161
e3,3,143
c5,2,161
h3,3,153
c5,2,161
g4,3,126
c5,2,161
e6,3,141
c5,2,161
a8,3,220
c5,2,220
f8,3,97
c5,2,220
d3,1,158
d6,2,-Infinity
a2,3,163
d6,2,163
e3,3,145
d6,2,163
h3,3,155
d6,2,163
g4,3,128
d6,2,163
c5,3,151
d6,2,163
f5,3,143
d6,2,163
a8,3,188
d6,2,188
f8,3,99
d6,2,188
d3,1,158
e6,2,-Infinity
a2,3,167
e6,2,167
e3,3,141
e6,2,167
h3,3,151
e6,2,167
g4,3,124
e6,2,167
c5,3,161
e6,2,167
a8,3,218
e6,2,218
f8,3,95
e6,2,218
d3,1,158
root,0,188
e3,1,Infinity
d1,2,-Infinity
e1,3,131
d1,2,131
a2,3,145
d1,2,145
d3,3,119
d1,2,145
h3,3,129
d1,2,145
g4,3,102
d1,2,145
c5,3,139
