OX**O*X*
X*OXOXO*
*OXXXXOO
O*O*O*XO
OXO*X*OO
*XXOXXXO
OXOX*OOO
XX**O*OO
Node,Depth,Value
root,0,-Infinity
c1,1,Infinity
d1,2,-Infinity
f1,3,-16
d1,2,-16
a3,3,-34
d1,2,-16
b4,3,-21
d1,2,-16
d4,3,-12
d1,2,-12
f4,3,-20
d1,2,-12
d5,3,-18
d1,2,-12
f5,3,-14
d1,2,-12
a6,3,-18
d1,2,-12
e7,3,-13
d1,2,-12
d8,3,-26
d1,2,-12
h8,3,97
d1,2,97
c1,1,97
f1,2,-Infinity
h1,3,71
f1,2,71
a3,3,-36
f1,2,71
b4,3,-23
f1,2,71
d4,3,-14
f1,2,71
f4,3,-22
f1,2,71
d5,3,-20
f1,2,71
f5,3,-16
f1,2,71
a6,3,-20
f1,2,71
e7,3,-15
f1,2,71
d8,3,-28
f1,2,71
h8,3,95
f1,2,95
c1,1,95
h1,2,-Infinity
f1,3,-117
h1,2,-117
h2,3,-141
h1,2,-117
a3,3,-85
h1,2,-85
b4,3,-72
h1,2,-72
d4,3,-63
h1,2,-63
f4,3,-71
h1,2,-63
d5,3,-69
h1,2,-63
f5,3,-65
h1,2,-63
a6,3,-69
h1,2,-63
e7,3,-64
h1,2,-63
d8,3,-77
h1,2,-63
h8,3,46
h1,2,46
c1,1,46
b2,2,-Infinity
d1,3,4
b2,2,4
a3,3,-50
b2,2,4
b4,3,11
b2,2,11
d4,3,-14
b2,2,11
f4,3,12
b2,2,12
d5,3,14
b2,2,14
f5,3,18
b2,2,18
a6,3,14
b2,2,18
e7,3,19
b2,2,19
d8,3,6
b2,2,19
h8,3,129
b2,2,129
c1,1,46
h2,2,-Infinity
h1,3,79
h2,2,79
a3,3,6
h2,2,79
b4,3,19
h2,2,79
d4,3,28
h2,2,79
f4,3,20
h2,2,79
d5,3,22
h2,2,79
f5,3,32
h2,2,79
a6,3,22
h2,2,79
e7,3,27
h2,2,79
d8,3,14
h2,2,79
c1,1,46
a3,2,-Infinity
b4,3,-21
a3,2,-21
d4,3,-12
a3,2,-12
f4,3,-20
a3,2,-12
d5,3,-18
a3,2,-12
f5,3,-14
a3,2,-12
a6,3,-18
a3,2,-12
e7,3,-13
a3,2,-12
d8,3,-26
a3,2,-12
h8,3,97
a3,2,97
c1,1,46
d4,2,-Infinity
b2,3,-30
d4,2,-30
a3,3,-42
d4,2,-30
b4,3,-21
d4,2,-21
f4,3,-28
d4,2,-21
d5,3,-24
d4,2,-21
f5,3,-22
d4,2,-21
a6,3,-26
d4,2,-21
e7,3,-21
d4,2,-21
d8,3,-34
d4,2,-21
h8,3,89
d4,2,89
c1,1,46
f4,2,-Infinity
a3,3,-32
f4,2,-32
b4,3,-19
f4,2,-19
d4,3,-10
f4,2,-10
d5,3,-16
f4,2,-10
f5,3,-12
f4,2,-10
a6,3,-16
f4,2,-10
e7,3,-25
f4,2,-10
d8,3,-24
f4,2,-10
h8,3,99
f4,2,99
c1,1,46
d5,2,-Infinity
a3,3,-14
d5,2,-14
b4,3,-37
d5,2,-14
d4,3,-28
d5,2,-14
f4,3,-28
d5,2,-14
f5,3,-20
d5,2,-14
a6,3,-24
d5,2,-14
e7,3,-21
d5,2,-14
h8,3,81
d5,2,81
c1,1,46
f5,2,-Infinity
a3,3,-32
f5,2,-32
b4,3,-19
f5,2,-19
d4,3,-10
f5,2,-10
f4,3,4
f5,2,4
d5,3,-2
f5,2,4
a6,3,-16
f5,2,4
e7,3,-17
f5,2,4
c8,3,-12
f5,2,4
d8,3,-24
f5,2,4
h8,3,99
f5,2,99
c1,1,46
a6,2,-Infinity
a3,3,-26
a6,2,-26
b4,3,-13
a6,2,-13
d4,3,-4
a6,2,-4
f4,3,-12
a6,2,-4
d5,3,-10
a6,2,-4
f5,3,-6
a6,2,-4
e7,3,-5
a6,2,-4
d8,3,-18
a6,2,-4
h8,3,105
a6,2,105
c1,1,46
e7,2,-Infinity
a3,3,25
e7,2,25
b4,3,38
e7,2,38
f4,3,39
e7,2,39
d5,3,33
e7,2,39
f5,3,31
e7,2,39
a6,3,41
e7,2,41
d8,3,41
e7,2,41
f8,3,35
e7,2,41
h8,3,156
e7,2,156
c1,1,46
c8,2,-Infinity
a3,3,-34
c8,2,-34
b4,3,-21
c8,2,-21
d4,3,-12
c8,2,-12
f4,3,-20
c8,2,-12
d5,3,-18
c8,2,-12
f5,3,-14
c8,2,-12
a6,3,-18
c8,2,-12
e7,3,-69
c8,2,-12
d8,3,-42
c8,2,-12
h8,3,97
c8,2,97
c1,1,46
d8,2,-Infinity
a3,3,-32
d8,2,-32
b4,3,-19
d8,2,-19
d4,3,-10
d8,2,-10
f4,3,-18
d8,2,-10
d5,3,-16
d8,2,-10
f5,3,-12
d8,2,-10
a6,3,-16
d8,2,-10
e7,3,-67
d8,2,-10
c8,3,2
d8,2,2
h8,3,99
d8,2,99
c1,1,46
f8,2,-Infinity
a3,3,14
f8,2,14
b4,3,27
f8,2,27
f4,3,28
f8,2,28
d5,3,22
f8,2,28
f5,3,20
f8,2,28
a6,3,30
f8,2,30
e7,3,35
f8,2,35
d8,3,22
f8,2,35
h8,3,145
f8,2,145
c1,1,46
h8,2,-Infinity
a3,3,-85
h8,2,-85
b4,3,-72
h8,2,-72
f4,3,-71
h8,2,-71
d5,3,-69
h8,2,-69
f5,3,-65
h8,2,-65
a6,3,-69
h8,2,-65
e7,3,-64
h8,2,-64
d8,3,-77
h8,2,-64
c1,1,-64
root,0,-64
a3,1,Infinity
c1,2,-Infinity
d1,3,-28
c1,2,-28
b2,3,-64
c1,2,-28
b4,3,-21
c1,2,-21
d4,3,-12
c1,2,-12
f4,3,-22
c1,2,-12
d5,3,-18
c1,2,-12
f5,3,-14
c1,2,-12
a6,3,-18
c1,2,-12
e7,3,-13
c1,2,-12
d8,3,-26
c1,2,-12
h8,3,97
c1,2,97
a3,1,97
d1,2,-Infinity
c1,3,-22
d1,2,-22
f1,3,-16
d1,2,-16
b4,3,-21
d1,2,-16
d4,3,-12
d1,2,-12
f4,3,-22
d1,2,-12
d5,3,-18
d1,2,-12
f5,3,-14
d1,2,-12
a6,3,-18
d1,2,-12
e7,3,-13
d1,2,-12
d8,3,-26
d1,2,-12
h8,3,97
d1,2,97
a3,1,97
f1,2,-Infinity
c1,3,-36
f1,2,-36
h1,3,71
f1,2,71
b4,3,-23
f1,2,71
d4,3,-14
f1,2,71
f4,3,-24
f1,2,71
d5,3,-20
f1,2,71
f5,3,-16
f1,2,71
a6,3,-20
f1,2,71
e7,3,-15
f1,2,71
d8,3,-28
f1,2,71
h8,3,95
f1,2,95
a3,1,95
h1,2,-Infinity
c1,3,-85
h1,2,-85
f1,3,-117
h1,2,-85
h2,3,-141
h1,2,-85
b4,3,-72
h1,2,-72
d4,3,-63
h1,2,-63
f4,3,-73
h1,2,-63
d5,3,-69
h1,2,-63
f5,3,-65
h1,2,-63
a6,3,-69
h1,2,-63
e7,3,-64
h1,2,-63
d8,3,-77
h1,2,-63
h8,3,46
h1,2,46
a3,1,46
b2,2,-Infinity
c1,3,-44
b2,2,-44
d1,3,4
b2,2,4
b4,3,11
b2,2,11
d4,3,-14
b2,2,11
f4,3,10
b2,2,11
d5,3,14
b2,2,14
f5,3,18
b2,2,18
a6,3,14
b2,2,18
e7,3,19
b2,2,19
d8,3,6
b2,2,19
h8,3,129
b2,2,129
a3,1,46
h2,2,-Infinity
c1,3,6
h2,2,6
h1,3,79
h2,2,79
b4,3,19
h2,2,79
d4,3,28
h2,2,79
f4,3,18
h2,2,79
d5,3,22
h2,2,79
f5,3,32
h2,2,79
a6,3,22
h2,2,79
e7,3,27
h2,2,79
d8,3,14
h2,2,79
a3,1,46
d4,2,-Infinity
c1,3,-42
d4,2,-42
b2,3,-30
d4,2,-30
b4,3,-21
d4,2,-21
f4,3,-30
d4,2,-21
d5,3,-24
d4,2,-21
f5,3,-22
d4,2,-21
a6,3,-26
d4,2,-21
e7,3,-21
d4,2,-21
d8,3,-34
d4,2,-21
h8,3,89
d4,2,89
a3,1,46
f4,2,-Infinity
c1,3,-32
f4,2,-32
b4,3,-19
f4,2,-19
d4,3,-10
f4,2,-10
d5,3,-16
f4,2,-10
f5,3,-12
f4,2,-10
a6,3,-16
f4,2,-10
e7,3,-25
f4,2,-10
d8,3,-24
f4,2,-10
h8,3,99
f4,2,99
a3,1,46
d5,2,-Infinity
c1,3,-50
d5,2,-50
b4,3,-37
d5,2,-37
d4,3,-28
d5,2,-28
f4,3,-30
d5,2,-28
f5,3,-20
d5,2,-20
a6,3,-40
d5,2,-20
e7,3,-21
d5,2,-20
h8,3,81
d5,2,81
a3,1,46
f5,2,-Infinity
c1,3,-32
f5,2,-32
b4,3,-19
f5,2,-19
d4,3,-10
f5,2,-10
f4,3,2
f5,2,2
d5,3,-2
f5,2,2
a6,3,-16
f5,2,2
e7,3,-17
f5,2,2
c8,3,-12
f5,2,2
d8,3,-24
f5,2,2
h8,3,99
f5,2,99
a3,1,46
a6,2,-Infinity
c1,3,-26
a6,2,-26
b4,3,-13
a6,2,-13
d4,3,-4
a6,2,-4
f4,3,-14
a6,2,-4
d5,3,-10
a6,2,-4
f5,3,-6
a6,2,-4
e7,3,-5
a6,2,-4
d8,3,-18
a6,2,-4
h8,3,105
a6,2,105
a3,1,46
e7,2,-Infinity
c1,3,25
e7,2,25
b4,3,38
e7,2,38
f4,3,37
e7,2,38
d5,3,33
e7,2,38
f5,3,31
e7,2,38
a6,3,41
e7,2,41
d8,3,41
e7,2,41
f8,3,35
e7,2,41
h8,3,156
e7,2,156
a3,1,46
c8,2,-Infinity
c1,3,-34
c8,2,-34
b4,3,-21
c8,2,-21
d4,3,-12
c8,2,-12
f4,3,-22
c8,2,-12
d5,3,-18
c8,2,-12
f5,3,-14
c8,2,-12
a6,3,-18
c8,2,-12
e7,3,-69
c8,2,-12
d8,3,-42
c8,2,-12
h8,3,97
c8,2,97
a3,1,46
d8,2,-Infinity
c1,3,-32
d8,2,-32
b4,3,-19
d8,2,-19
d4,3,-10
