XXXOXOXO
*O**X***
XOOOOX*X
*X**X**X
XO***XOX
*XOXX***
OOX*XOXX
XXXXXXOX
Node,Depth,Value
root,0,-Infinity
c2,1,Infinity
d2,2,-Infinity
a2,3,189
d2,2,189
c4,3,269
d2,2,269
d4,3,225
d2,2,269
f4,3,265
d2,2,269
c5,3,271
d2,2,271
d5,3,225
d2,2,271
a6,3,251
d2,2,271
f6,3,252
d2,2,271
d8,3,277
d2,2,277
c2,1,277
g3,2,-Infinity
a2,3,182
g3,2,182
d2,3,249
g3,2,249
f2,3,226
g3,2,249
g2,3,228
g3,2,249
a4,3,236
g3,2,249
c4,3,256
g3,2,256
d4,3,204
g3,2,256
g4,3,249
g3,2,256
c5,3,250
g3,2,256
d5,3,204
g3,2,256
a6,3,230
g3,2,256
f6,3,231
g3,2,256
d8,3,256
g3,2,256
c2,1,256
c4,2,-Infinity
a2,3,186
c4,2,186
d2,3,253
c4,2,253
a4,3,240
c4,2,253
d4,3,216
c4,2,253
c5,3,276
c4,2,276
d5,3,208
c4,2,276
a6,3,234
c4,2,276
f6,3,235
c4,2,276
d8,3,260
c4,2,276
c2,1,256
g4,2,-Infinity
a2,3,187
g4,2,187
d2,3,254
g4,2,254
g2,3,233
g4,2,254
g3,3,261
g4,2,261
a4,3,241
g4,2,261
c4,3,261
g4,2,261
d4,3,209
g4,2,261
f4,3,241
g4,2,261
c5,3,255
g4,2,261
d5,3,209
g4,2,261
a6,3,235
g4,2,261
f6,3,236
g4,2,261
d8,3,261
g4,2,261
c2,1,256
c5,2,-Infinity
a2,3,196
c5,2,196
d2,3,263
c5,2,263
a4,3,250
c5,2,263
c4,3,292
c5,2,292
d4,3,218
c5,2,292
d5,3,220
c5,2,292
a6,3,250
c5,2,292
f6,3,245
c5,2,292
d8,3,270
c5,2,292
c2,1,256
d5,2,-Infinity
a2,3,184
d5,2,184
d2,3,251
d5,2,251
a4,3,238
d5,2,251
c4,3,258
d5,2,258
d4,3,206
d5,2,258
c5,3,252
d5,2,258
e5,3,248
d5,2,258
a6,3,232
d5,2,258
f6,3,241
d5,2,258
d7,3,245
d5,2,258
d8,3,258
d5,2,258
c2,1,256
e5,2,-Infinity
a2,3,182
e5,2,182
d2,3,249
e5,2,249
a4,3,236
e5,2,249
c4,3,256
e5,2,256
d4,3,204
e5,2,256
c5,3,238
e5,2,256
d5,3,206
e5,2,256
a6,3,230
e5,2,256
f6,3,261
e5,2,261
g6,3,242
e5,2,261
d7,3,221
e5,2,261
d8,3,248
e5,2,261
c2,1,256
a6,2,-Infinity
a2,3,192
a6,2,192
d2,3,259
a6,2,259
a4,3,246
a6,2,259
c4,3,266
a6,2,266
d4,3,214
a6,2,266
c5,3,260
a6,2,266
d5,3,214
a6,2,266
f6,3,241
a6,2,266
d8,3,266
a6,2,266
c2,1,256
f6,2,-Infinity
a2,3,169
f6,2,169
d2,3,236
f6,2,236
a4,3,223
f6,2,236
c4,3,243
f6,2,243
d4,3,191
f6,2,243
c5,3,245
f6,2,245
d5,3,191
f6,2,245
e5,3,255
f6,2,255
a6,3,217
f6,2,255
g6,3,265
f6,2,265
d7,3,230
f6,2,265
d8,3,243
f6,2,265
c2,1,256
g6,2,-Infinity
a2,3,244
g6,2,244
d2,3,311
g6,2,311
a4,3,298
g6,2,311
c4,3,318
g6,2,318
d4,3,266
g6,2,318
c5,3,312
g6,2,318
d5,3,266
g6,2,318
a6,3,292
g6,2,318
f6,3,245
g6,2,318
h6,3,260
g6,2,318
d8,3,318
g6,2,318
c2,1,256
d7,2,-Infinity
a2,3,209
d7,2,209
d2,3,276
d7,2,276
a4,3,263
d7,2,276
c4,3,283
d7,2,283
d4,3,231
d7,2,283
c5,3,263
d7,2,283
d5,3,231
d7,2,283
a6,3,257
d7,2,283
f6,3,258
d7,2,283
d8,3,269
d7,2,283
c2,1,256
root,0,256
d2,1,Infinity
g3,2,-Infinity
c2,3,249
g3,2,249
f2,3,233
g3,2,249
g2,3,235
g3,2,249
c4,3,257
g3,2,257
d4,3,253
g3,2,257
f4,3,257
g3,2,257
g4,3,256
g3,2,257
c5,3,257
g3,2,257
d5,3,211
g3,2,257
a6,3,237
g3,2,257
f6,3,238
g3,2,257
d8,3,263
g3,2,263
d2,1,263
d4,2,-Infinity
c2,3,245
d4,2,245
c4,3,253
d4,2,253
f4,3,253
d4,2,253
c5,3,253
d4,2,253
d5,3,215
d4,2,253
e5,3,207
d4,2,253
a6,3,233
d4,2,253
f6,3,234
d4,2,253
d8,3,259
d4,2,259
d2,1,259
g4,2,-Infinity
c2,3,254
g4,2,254
f2,3,240
g4,2,254
g2,3,240
g4,2,254
g3,3,276
g4,2,276
d4,3,258
g4,2,276
f4,3,256
g4,2,276
c5,3,262
g4,2,276
d5,3,216
g4,2,276
a6,3,242
g4,2,276
f6,3,243
g4,2,276
d8,3,268
g4,2,276
d2,1,259
c5,2,-Infinity
c2,3,263
c5,2,263
c4,3,293
c5,2,293
d4,3,267
c5,2,293
f4,3,271
c5,2,293
d5,3,227
c5,2,293
a6,3,257
c5,2,293
f6,3,252
c5,2,293
d8,3,277
c5,2,293
d2,1,259
d5,2,-Infinity
c2,3,251
d5,2,251
c4,3,259
d5,2,259
d4,3,255
d5,2,259
f4,3,259
d5,2,259
c5,3,259
d5,2,259
e5,3,255
d5,2,259
a6,3,239
d5,2,259
f6,3,248
d5,2,259
d7,3,252
d5,2,259
d8,3,265
d5,2,265
d2,1,259
e5,2,-Infinity
c4,3,257
e5,2,257
d4,3,253
e5,2,257
f4,3,257
e5,2,257
c5,3,245
e5,2,257
d5,3,213
e5,2,257
a6,3,237
e5,2,257
f6,3,268
e5,2,268
d7,3,228
e5,2,268
d8,3,255
e5,2,268
d2,1,259
a6,2,-Infinity
c2,3,259
a6,2,259
c4,3,267
a6,2,267
d4,3,263
a6,2,267
f4,3,267
a6,2,267
c5,3,267
a6,2,267
d5,3,221
a6,2,267
f6,3,248
a6,2,267
d8,3,273
a6,2,273
d2,1,259
f6,2,-Infinity
c2,3,236
f6,2,236
c4,3,244
f6,2,244
d4,3,240
f6,2,244
f4,3,244
f6,2,244
c5,3,252
f6,2,252
d5,3,198
f6,2,252
e5,3,262
f6,2,262
a6,3,224
f6,2,262
g6,3,272
f6,2,272
d7,3,237
f6,2,272
d8,3,250
f6,2,272
d2,1,259
g6,2,-Infinity
c2,3,303
g6,2,303
c4,3,311
g6,2,311
d4,3,307
g6,2,311
f4,3,311
g6,2,311
g4,3,304
g6,2,311
c5,3,311
g6,2,311
d5,3,265
g6,2,311
e5,3,309
g6,2,311
a6,3,291
g6,2,311
f6,3,244
g6,2,311
h6,3,259
g6,2,311
d8,3,317
g6,2,317
d2,1,259
d7,2,-Infinity
c2,3,276
d7,2,276
c4,3,284
d7,2,284
d4,3,280
d7,2,284
f4,3,284
d7,2,284
c5,3,270
d7,2,284
d5,3,238
d7,2,284
a6,3,264
d7,2,284
f6,3,265
d7,2,284
d8,3,276
d7,2,284
d2,1,259
root,0,259
c4,1,Infinity
g3,2,-Infinity
a2,3,230
g3,2,230
c2,3,256
g3,2,256
d2,3,257
g3,2,257
f2,3,234
g3,2,257
g2,3,236
g3,2,257
d4,3,212
g3,2,257
g4,3,257
g3,2,257
c5,3,258
g3,2,258
d5,3,212
g3,2,258
a6,3,232
g3,2,258
f6,3,239
g3,2,258
d8,3,264
g3,2,264
c4,1,264
g4,2,-Infinity
a2,3,235
g4,2,235
c2,3,261
g4,2,261
d2,3,262
g4,2,262
g2,3,241
g4,2,262
g3,3,269
g4,2,269
d4,3,217
g4,2,269
f4,3,249
g4,2,269
c5,3,263
g4,2,269
d5,3,217
g4,2,269
a6,3,237
g4,2,269
f6,3,244
g4,2,269
d8,3,269
g4,2,269
c4,1,264
c5,2,-Infinity
c2,3,292
c5,2,292
d2,3,263
c5,2,292
d4,3,226
c5,2,292
d5,3,220
c5,2,292
a6,3,252
c5,2,292
f6,3,245
c5,2,292
d8,3,270
c5,2,292
c4,1,264
d5,2,-Infinity
d2,3,251
d5,2,251
d4,3,214
d5,2,251
c5,3,252
d5,2,252
e5,3,248
d5,2,252
a6,3,234
d5,2,252
f6,3,241
d5,2,252
d7,3,245
d5,2,252
d8,3,258
d5,2,258
c4,1,258
e5,2,-Infinity
a2,3,230
e5,2,230
c2,3,256
e5,2,256
d2,3,257
e5,2,257
d4,3,212
e5,2,257
c5,3,246
e5,2,257
d5,3,214
e5,2,257
a6,3,232
e5,2,257
f6,3,269
e5,2,269
g6,3,250
e5,2,269
d7,3,229
e5,2,269
d8,3,256
e5,2,269
c4,1,258
a6,2,-Infinity
a2,3,240
a6,2,240
c2,3,266
a6,2,266
d2,3,267
a6,2,267
d4,3,222
a6,2,267
c5,3,268
a6,2,268
d5,3,222
a6,2,268
f6,3,249
a6,2,268
d8,3,274
a6,2,274
c4,1,258
f6,2,-Infinity
a2,3,217
f6,2,217
c2,3,243
f6,2,243
d2,3,244
f6,2,244
d4,3,199
f6,2,244
c5,3,253
f6,2,253
d5,3,199
f6,2,253
e5,3,263
f6,2,263
a6,3,219
f6,2,263
g6,3,273
f6,2,273
d7,3,238
f6,2,273
d8,3,251
f6,2,273
c4,1,258
g6,2,-Infinity
a2,3,292
g6,2,292
c2,3,318
g6,2,318
d2,3,319
g6,2,319
d4,3,274
g6,2,319
c5,3,320
g6,2,320
d5,3,274
g6,2,320
a6,3,294
g6,2,320
f6,3,253
g6,2,320
h6,3,268
g6,2,320
d8,3,326
g6,2,326
c4,1,258
d7,2,-Infinity
a2,3,257
d7,2,257
c2,3,283
d7,2,283
d2,3,284
d7,2,284
d4,3,239
d7,2,284
c5,3,271
d7,2,284
d5,3,239
d7,2,284
a6,3,259
d7,2,284
f6,3,266
d7,2,284
d8,3,277
d7,2,284
c4,1,258
root,0,259
d4,1,Infinity
g3,2,-Infinity
c2,3,204
g3,2,204
d2,3,205
g3,2,205
f2,3,196
g3,2,205
g2,3,190
g3,2,205
c4,3,212
g3,2,212
g4,3,211
g3,2,212
c5,3,212
g3,2,212
d5,3,166
g3,2,212
a6,3,192
g3,2,212
f6,3,193
g3,2,212
d8,3,218
g3,2,218
d4,1,218
g4,2,-Infinity
c2,3,209
g4,2,209
d2,3,210
g4,2,210
f2,3,209
g4,2,210
g2,3,195
g4,2,210
g3,3,231
g4,2,231
f4,3,203
g4,2,231
c5,3,217
g4,2,231
d5,3,171
g4,2,231
a6,3,197
g4,2,231
f6,3,198
g4,2,231
d8,3,223
g4,2,231
d4,1,218
c5,2,-Infinity
c2,3,218
c5,2,218
c4,3,248
c5,2,248
d5,3,182
c5,2,248
e5,3,214
c5,2,248
a6,3,212
c5,2,248
f6,3,207
c5,2,248
d8,3,232
c5,2,248
d4,1,218
d5,2,-Infinity
c2,3,206
d5,2,206
d2,3,207
d5,2,207
c4,3,214
d5,2,214
c5,3,214
d5,2,214
e5,3,210
d5,2,214
a6,3,194
d5,2,214
f6,3,203
d5,2,214
d7,3,207
d5,2,214
d8,3,220
d5,2,220
d4,1,218
e5,2,-Infinity
d2,3,205
e5,2,205
f2,3,204
e5,2,205
c4,3,212
e5,2,212
f4,3,204
e5,2,212
c5,3,200
e5,2,212
d5,3,168
e5,2,212
a6,3,192
e5,2,212
f6,3,223
e5,2,223
d7,3,183
e5,2,223
d8,3,210
e5,2,223
d4,1,218
a6,2,-Infinity
c2,3,214
a6,2,214
d2,3,215
a6,2,215
f2,3,214
a6,2,215
c4,3,222
a6,2,222
c5,3,222
a6,2,222
d5,3,176
a6,2,222
f6,3,203
a6,2,222
d8,3,228
a6,2,228
d4,1,218
f6,2,-Infinity
c2,3,191
f6,2,191
d2,3,192
f6,2,192
f2,3,191
f6,2,192
c4,3,199
f6,2,199
c5,3,207
f6,2,207
d5,3,153
f6,2,207
e5,3,217
f6,2,217
a6,3,179
f6,2,217
g6,3,227
f6,2,227
d7,3,192
f6,2,227
d8,3,205
f6,2,227
d4,1,218
g6,2,-Infinity
c2,3,258
g6,2,258
d2,3,259
g6,2,259
f2,3,258
g6,2,259
c4,3,266
g6,2,266
f4,3,258
g6,2,266
g4,3,259
g6,2,266
c5,3,266
g6,2,266
d5,3,220
g6,2,266
e5,3,264
g6,2,266
a6,3,246
g6,2,266
f6,3,199
g6,2,266
h6,3,214
g6,2,266
d8,3,272
g6,2,272
d4,1,218
d7,2,-Infinity
c2,3,231
d7,2,231
d2,3,232
d7,2,232
f2,3,231
d7,2,232
c4,3,239
d7,2,239
c5,3,225
d7,2,239
d5,3,193
d7,2,239
a6,3,219
d7,2,239
f6,3,220
d7,2,239
d8,3,231
d7,2,239
d4,1,218
root,0,259
c5,1,Infinity
g3,2,-Infinity
c2,3,250
g3,2,250
d2,3,257
g3,2,257
f2,3,234
g3,2,257
g2,3,236
g3,2,257
c4,3,258
g3,2,258
d4,3,212
g3,2,258
g4,3,257
g3,2,258
a6,3,238
g3,2,258
f6,3,239
