XO*O*XXO
O**OOX*X
*XX*XXO*
*XXXXXOX
**X*XXXO
OOXXX*XX
OX**OXXX
XXOXO*XX
Node,Depth,Value
root,0,-Infinity
c1,1,Infinity
e1,2,-Infinity
g2,3,127
e1,2,127
a3,3,157
e1,2,157
d3,3,169
e1,2,169
e3,3,163
e1,2,169
h3,3,159
e1,2,169
a5,3,171
e1,2,171
b5,3,154
e1,2,171
d5,3,165
e1,2,171
f6,3,166
e1,2,171
d7,3,156
e1,2,171
f8,3,179
e1,2,179
c1,1,179
b2,2,-Infinity
e1,3,191
b2,2,191
c2,3,191
b2,2,191
g2,3,143
b2,2,191
a3,3,125
b2,2,191
d3,3,193
b2,2,193
e3,3,171
b2,2,193
h3,3,175
b2,2,193
a5,3,187
b2,2,193
b5,3,170
b2,2,193
d5,3,181
b2,2,193
f6,3,148
b2,2,193
d7,3,172
b2,2,193
f8,3,195
b2,2,195
c1,1,179
g2,2,-Infinity
e1,3,177
g2,2,177
c2,3,109
g2,2,177
a3,3,173
g2,2,177
d3,3,179
g2,2,179
e3,3,171
g2,2,179
h3,3,135
g2,2,179
a5,3,187
g2,2,187
b5,3,170
g2,2,187
d5,3,181
g2,2,187
f6,3,182
g2,2,187
d7,3,172
g2,2,187
f8,3,195
g2,2,195
c1,1,179
a3,2,-Infinity
e1,3,149
a3,2,149
g2,3,115
a3,2,149
d3,3,151
a3,2,151
e3,3,143
a3,2,151
h3,3,147
a3,2,151
a4,3,153
a3,2,153
a5,3,153
a3,2,153
b5,3,136
a3,2,153
d5,3,153
a3,2,153
f6,3,154
a3,2,154
c7,3,157
a3,2,157
d7,3,144
a3,2,157
f8,3,173
a3,2,173
c1,1,173
e3,2,-Infinity
e1,3,151
e3,2,151
g2,3,115
e3,2,151
a3,3,145
e3,2,151
d3,3,151
e3,2,151
h3,3,155
e3,2,155
a5,3,159
e3,2,159
b5,3,142
e3,2,159
d5,3,153
e3,2,159
f6,3,154
e3,2,159
d7,3,144
e3,2,159
f8,3,167
e3,2,167
c1,1,167
h3,2,-Infinity
e1,3,179
h3,2,179
g2,3,129
h3,2,179
a3,3,159
h3,2,179
d3,3,165
h3,2,179
e3,3,157
h3,2,179
a5,3,173
h3,2,179
b5,3,156
h3,2,179
d5,3,167
h3,2,179
f6,3,168
h3,2,179
d7,3,158
h3,2,179
f8,3,181
h3,2,181
c1,1,167
a4,2,-Infinity
e1,3,159
a4,2,159
g2,3,125
a4,2,159
a3,3,149
a4,2,159
d3,3,161
a4,2,161
e3,3,153
a4,2,161
h3,3,157
a4,2,161
a5,3,163
a4,2,163
b5,3,146
a4,2,163
d5,3,171
a4,2,171
f6,3,164
a4,2,171
d7,3,154
a4,2,171
f8,3,177
a4,2,177
c1,1,167
a5,2,-Infinity
e1,3,159
a5,2,159
c2,3,167
a5,2,167
g2,3,119
a5,2,167
a3,3,143
a5,2,167
d3,3,169
a5,2,169
e3,3,147
a5,2,169
h3,3,151
a5,2,169
a4,3,169
a5,2,169
b5,3,140
a5,2,169
d5,3,157
a5,2,169
f6,3,158
a5,2,169
d7,3,148
a5,2,169
f8,3,171
a5,2,171
c1,1,167
d5,2,-Infinity
e1,3,167
d5,2,167
b2,3,139
d5,2,167
g2,3,133
d5,2,167
a3,3,155
d5,2,167
d3,3,169
d5,2,169
e3,3,161
d5,2,169
h3,3,165
d5,2,169
a5,3,177
d5,2,177
b5,3,160
d5,2,177
f6,3,172
d5,2,177
d7,3,162
d5,2,177
f8,3,185
d5,2,185
c1,1,167
f6,2,-Infinity
e1,3,100
f6,2,100
g2,3,66
f6,2,100
a3,3,96
f6,2,100
d3,3,110
f6,2,110
e3,3,102
f6,2,110
a5,3,110
f6,2,110
b5,3,93
f6,2,110
d5,3,134
f6,2,134
c7,3,122
f6,2,134
d7,3,95
f6,2,134
f8,3,126
f6,2,134
c1,1,134
c7,2,-Infinity
e1,3,211
c7,2,211
g2,3,177
c7,2,211
a3,3,207
c7,2,211
d3,3,213
c7,2,213
e3,3,205
c7,2,213
h3,3,209
c7,2,213
a5,3,205
c7,2,213
b5,3,156
c7,2,213
d5,3,215
c7,2,215
f6,3,216
c7,2,216
d7,3,206
c7,2,216
f8,3,237
c7,2,237
c1,1,134
d7,2,-Infinity
e1,3,154
d7,2,154
g2,3,120
d7,2,154
a3,3,150
d7,2,154
d3,3,164
d7,2,164
e3,3,148
d7,2,164
h3,3,158
d7,2,164
a5,3,164
d7,2,164
b5,3,147
d7,2,164
d5,3,174
d7,2,174
f6,3,175
d7,2,175
c7,3,142
d7,2,175
f8,3,172
d7,2,175
c1,1,134
root,0,134
e1,1,Infinity
b2,2,-Infinity
c1,3,177
b2,2,177
c2,3,183
b2,2,183
a3,3,165
b2,2,183
d3,3,185
b2,2,185
e3,3,171
b2,2,185
h3,3,175
b2,2,185
a5,3,179
b2,2,185
b5,3,162
b2,2,185
d5,3,173
b2,2,185
f6,3,140
b2,2,185
d7,3,164
b2,2,185
f8,3,187
b2,2,187
e1,1,187
c2,2,-Infinity
c1,3,169
c2,2,169
b2,3,129
c2,2,169
a3,3,165
c2,2,169
d3,3,171
c2,2,171
e3,3,171
c2,2,171
h3,3,175
c2,2,175
a5,3,179
c2,2,179
b5,3,162
c2,2,179
d5,3,173
c2,2,179
f6,3,174
c2,2,179
d7,3,164
c2,2,179
f8,3,187
c2,2,187
e1,1,187
g2,2,-Infinity
c1,3,193
g2,2,193
a3,3,181
g2,2,193
d3,3,187
g2,2,193
e3,3,179
g2,2,193
h3,3,143
g2,2,193
a5,3,195
g2,2,195
b5,3,178
g2,2,195
d5,3,189
g2,2,195
f6,3,190
g2,2,195
d7,3,180
g2,2,195
f8,3,203
g2,2,203
e1,1,187
a3,2,-Infinity
c1,3,149
a3,2,149
d3,3,143
a3,2,149
e3,3,143
a3,2,149
h3,3,147
a3,2,149
a4,3,145
a3,2,149
a5,3,145
a3,2,149
b5,3,128
a3,2,149
d5,3,145
a3,2,149
f6,3,146
a3,2,149
c7,3,149
a3,2,149
d7,3,136
a3,2,149
f8,3,165
a3,2,165
e1,1,165
d3,2,-Infinity
c1,3,169
d3,2,169
c2,3,157
d3,2,169
a3,3,157
d3,2,169
e3,3,171
d3,2,171
h3,3,167
d3,2,171
a5,3,171
d3,2,171
b5,3,154
d3,2,171
d5,3,165
d3,2,171
f6,3,166
d3,2,171
d7,3,156
d3,2,171
f8,3,179
d3,2,179
e1,1,165
h3,2,-Infinity
c1,3,163
h3,2,163
a3,3,151
h3,2,163
d3,3,157
h3,2,163
e3,3,157
h3,2,163
a5,3,165
h3,2,165
b5,3,148
h3,2,165
d5,3,159
h3,2,165
f6,3,160
h3,2,165
d7,3,150
h3,2,165
f8,3,173
h3,2,173
e1,1,165
a4,2,-Infinity
c1,3,159
a4,2,159
a3,3,141
a4,2,159
d3,3,153
a4,2,159
e3,3,153
a4,2,159
h3,3,157
a4,2,159
a5,3,155
a4,2,159
b5,3,138
a4,2,159
d5,3,163
a4,2,163
f6,3,156
a4,2,163
d7,3,146
a4,2,163
f8,3,169
a4,2,169
e1,1,165
d5,2,-Infinity
c1,3,167
d5,2,167
b2,3,131
d5,2,167
a3,3,147
d5,2,167
d3,3,161
d5,2,167
e3,3,161
d5,2,167
h3,3,165
d5,2,167
a5,3,169
d5,2,169
b5,3,152
d5,2,169
f6,3,164
d5,2,169
d7,3,154
d5,2,169
f8,3,177
d5,2,177
e1,1,165
f6,2,-Infinity
c1,3,130
f6,2,130
a3,3,118
f6,2,130
d3,3,124
f6,2,130
e3,3,124
f6,2,130
h3,3,128
f6,2,130
a5,3,132
f6,2,132
b5,3,115
f6,2,132
d5,3,148
f6,2,148
c7,3,144
f6,2,148
d7,3,125
f6,2,148
f8,3,148
f6,2,148
e1,1,148
c7,2,-Infinity
c1,3,211
c7,2,211
a3,3,199
c7,2,211
d3,3,205
c7,2,211
e3,3,205
c7,2,211
h3,3,209
c7,2,211
a5,3,197
c7,2,211
b5,3,148
c7,2,211
d5,3,207
c7,2,211
f6,3,208
c7,2,211
d7,3,198
c7,2,211
f8,3,229
c7,2,229
e1,1,148
d7,2,-Infinity
c1,3,154
d7,2,154
a3,3,142
d7,2,154
d3,3,156
d7,2,156
e3,3,148
d7,2,156
a5,3,156
d7,2,156
b5,3,139
d7,2,156
d5,3,166
d7,2,166
f6,3,167
d7,2,167
c7,3,134
d7,2,167
f8,3,164
d7,2,167
e1,1,148
root,0,148
g2,1,Infinity
e1,2,-Infinity
c1,3,127
e1,2,127
c2,3,111
e1,2,127
a3,3,127
e1,2,127
d3,3,139
e1,2,139
e3,3,139
e1,2,139
a5,3,141
e1,2,141
b5,3,124
e1,2,141
d5,3,135
e1,2,141
f6,3,136
e1,2,141
d7,3,126
e1,2,141
f8,3,149
e1,2,149
g2,1,149
b2,2,-Infinity
c1,3,143
b2,2,143
e1,3,157
b2,2,157
c2,3,141
b2,2,157
a3,3,143
b2,2,157
d3,3,163
b2,2,163
e3,3,147
b2,2,163
a5,3,157
b2,2,163
b5,3,140
b2,2,163
d5,3,151
b2,2,163
f6,3,118
b2,2,163
d7,3,142
b2,2,163
f8,3,165
b2,2,165
g2,1,149
a3,2,-Infinity
c1,3,115
a3,2,115
e1,3,115
a3,2,115
c2,3,99
a3,2,115
d3,3,121
a3,2,121
e3,3,119
a3,2,121
a4,3,123
a3,2,123
a5,3,123
a3,2,123
b5,3,106
a3,2,123
d5,3,123
a3,2,123
f6,3,124
a3,2,124
c7,3,127
a3,2,127
d7,3,114
a3,2,127
f8,3,143
a3,2,143
g2,1,143
h3,2,-Infinity
c1,3,129
h3,2,129
e1,3,129
h3,2,129
c2,3,113
h3,2,129
a3,3,129
h3,2,129
d3,3,135
h3,2,135
e3,3,133
h3,2,135
a5,3,143
h3,2,143
b5,3,126
h3,2,143
d5,3,137
h3,2,143
f6,3,138
h3,2,143
d7,3,128
h3,2,143
f8,3,151
h3,2,151
g2,1,143
a4,2,-Infinity
c1,3,125
a4,2,125
e1,3,125
a4,2,125
c2,3,109
a4,2,125
a3,3,119
a4,2,125
d3,3,131
